Name	|	Abilities	|	Evolutions	|	Habitats	|	Move List
bulbasaur	|	"['basic ability 1: chlorophyll', 'basic ability 2: overgrow', 'adv ability 1: confidence', 'adv ability 2: discipline', 'high ability: empower']"	|	"['1 - bulbasaur', '2 - ivysaur minimum 15', '3 - venusaur minimum 30']"	|	"['forest', 'grassland', 'rainforest']"	|	"['1 tackle - normal', '3 growl - normal', '7 leech seed - grass', '9 vine whip - grass', '13 poison', 'powder - poison', '13 sleep powder - grass', '15 take down - normal', '19 razor leaf - grass', '21 sweet scent - normal', '25 growth - normal', '27 double-edge - normal', '31 worry seed - grass', '33 synthesis - grass', '37 seed bomb - grass']"
ivysaur	|	"['basic ability 1: chlorophyll', 'basic ability 2: overgrow', 'adv ability 1: confidence', 'adv ability 2: discipline', 'high ability: empower']"	|	"['1 - bulbasaur', '2 - ivysaur minimum 15', '3 - venusaur minimum 30']"	|	"['forest', 'grassland', 'rainforest']"	|	"['3 growl - normal', '7 leech seed - grass', '9 vine whip - grass', '13 poison', 'powder - poison', '13 sleep powder - grass', '15 take down - normal', '20 razor leaf - grass', '23 sweet scent - normal', '28 growth - normal', '31 double-edge - normal', '36 worry seed - grass', '39 synthesis - grass', '44 solar beam - grass']"
venusaur	|	"['basic ability 1: chlorophyll', 'basic ability 2: overgrow', 'adv ability 1: confidence', 'adv ability 2: discipline', 'high ability: empower']"	|	"['1 - bulbasaur', '2 - ivysaur minimum 15', '3 - venusaur minimum 30']"	|	"['forest', 'grassland', 'rainforest']"	|	"['3 growl - normal', '7 leech seed - grass', '9 vine whip - grass', '13 poison', 'powder - poison', '13 sleep powder - grass', '15 take down - normal', '20 razor leaf - grass', '23 sweet scent - normal', '28 growth - normal', '31 double-edge - normal', '32 petal dance - grass', '39 worry seed - grass', '45 synthesis - grass', '50 petal blizzard - grass', '53 solar beam - grass']"
chikorita	|	"['basic ability 1: healer', 'basic ability 2: overgrow', 'adv ability 1: aroma veil', 'adv ability 2: leaf guard', 'high ability: blessed touch']"	|	"['1 - chikorita', '2 - bayleef minimum 15', '3 - meganium minimum 30']"	|	"['forest', 'grassland']"	|	"['1 tackle - normal', '3 growl - normal', '6 razor leaf - grass', '9 poison', 'powder - poison', '12 synthesis - grass', '17 reflect - psychic', '20 magical leaf - grass', '23 natural gift - normal', '28 sweet scent - normal', '31 light screen - psychic', '34 body slam - normal', '39 safeguard - normal', '42 aromatherapy - grass', '45 solar beam - grass']"
bayleef	|	"['basic ability 1: healer', 'basic ability 2: overgrow', 'adv ability 1: aroma veil', 'adv ability 2: leaf guard', 'high ability: blessed touch']"	|	"['1 - chikorita', '2 - bayleef minimum 15', '3 - meganium minimum 30']"	|	"['forest', 'grassland']"	|	"['3 growl - normal', '6 razor leaf - grass', '9 poison', 'powder - poison', '12 synthesis - grass', '17 reflect - psychic', '20 magical leaf - grass', '23 natural gift - normal', '28 sweet scent - normal', '31 light screen - psychic', '34 body slam - normal', '39 safeguard - normal', '42 aromatherapy - grass', '45 solar beam - grass']"
meganium	|	"['basic ability 1: healer', 'basic ability 2: overgrow', 'adv ability 1: aroma veil', 'adv ability 2: leaf guard', 'high ability: blessed touch']"	|	"['1 - chikorita', '2 - bayleef minimum 15', '3 - meganium minimum 30']"	|	"['forest', 'grassland']"	|	"['3 growl - normal', '6 razor leaf - grass', '9 poison', 'powder - poison', '12 synthesis - grass', '18 reflect - psychic', '22 magical leaf - grass', '26 natural gift - normal', '32 petal dance - grass', '34 sweet scent - normal', '40 light screen - psychic', '46 body slam - normal', '54 safeguard - normal', '60 aromatherapy - grass', '66 solar beam - grass', '70 petal blizzard - grass']"
treecko	|	"['basic ability 1: unburden', 'basic ability 2: overgrow', 'adv ability 1: run away', 'adv ability 2: vanguard', 'high ability: ambush']"	|	"['1 - treecko', '2 - grovyle minimum 15', '3 - sceptile minimum 30']"	|	['rainforest']	|	"['1 pound - normal', '3 leer - normal', '5 absorb - grass', '9 quick attack - normal', '13 mega drain - grass', '17 pursuit - dark', '21 giga drain - grass', '25 agility - psychic', '29 slam - normal', '33 detect - fighting', '37 energy ball - grass', '41 quick guard - fighting', '45 endeavor - normal', '49 screech - normal']"
grovyle	|	"['basic ability 1: unburden', 'basic ability 2: overgrow', 'adv ability 1: run away', 'adv ability 2: vanguard', 'high ability: ambush']"	|	"['1 - treecko', '2 - grovyle minimum 15', '3 - sceptile minimum 30']"	|	['rainforest']	|	"['1 leer - normal', '5 absorb - grass', '9 quick attack - normal', '13 mega drain - grass', '16 fury cutter - bug', '18 pursuit - dark', '23 leaf blade - grass', '28 agility - psychic', '33 slam - normal', '38 detect - fighting', '43 x-scissor - bug', '48 false swipe - normal', '53 quick guard - fighting', '58 leaf storm - grass', '63 screech - normal']"
sceptile	|	"['basic ability 1: unburden', 'basic ability 2: overgrow', 'adv ability 1: run away', 'adv ability 2: vanguard', 'high ability: ambush']"	|	"['1 - treecko', '2 - grovyle minimum 15', '3 - sceptile minimum 30']"	|	['rainforest']	|	"['1 leer - normal', '5 absorb - grass', '9 quick attack - normal', '13 mega drain - grass', '16 fury cutter - bug', '18 pursuit - dark', '23 leaf blade - grass', '28 agility - psychic', '33 slam - normal', '36 dual chop - dragon', '39 detect - fighting', '45 x-scissor - bug', '51 false swipe - normal', '57 quick guard - fighting', '63 leaf storm - grass', '69 screech - normal']"
turtwig	|	"['basic ability 1: shell armor', 'basic ability 2: overgrow', 'adv ability 1: grass pelt', 'adv ability 2: sturdy', 'high ability: natural cure']"	|	"['1 - turtwig', '2 - grotle minimum 15', '3 - torterra minimum 30']"	|	"['forest', 'marsh', 'rainforest']"	|	"['1 tackle - normal', '5 withdraw - water', '9 absorb - grass', '13 razor leaf - grass', '17 curse - ghost', '21 bite - dark', '25 mega drain - grass', '29 leech seed - grass', '33 synthesis - grass', '37 crunch - dark', '41 giga drain - grass', '45 leaf storm - grass']"
